"period","stock_date","geography","state","vehicle_type","powertrain","stock","unit","period_type","metric","source_id","market_scope","coverage_status","notes"
2022,"2022-01-31","state:VIC","VIC","light_vehicle","ICE",4772398,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2022,"2022-01-31","state:VIC","VIC","light_vehicle","total",4845517,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated across fuel types."
2022,"2022-01-31","state:WA","WA","light_vehicle","BEV",3343,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2022,"2022-01-31","state:WA","WA","light_vehicle","HEV_or_PHEV",27462,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2022,"2022-01-31","state:WA","WA","light_vehicle","ICE",2094361,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2022,"2022-01-31","state:WA","WA","light_vehicle","total",2125166,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated across fuel types."
2023,"2023-01-31","Australia",NA,"light_vehicle","BEV",72572,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to national total."
2023,"2023-01-31","Australia",NA,"light_vehicle","HEV_or_PHEV",362776,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to national total."
2023,"2023-01-31","Australia",NA,"light_vehicle","ICE",18806925,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to national total."
2023,"2023-01-31","Australia",NA,"light_vehicle","total",19242273,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated across fuel types."
2023,"2023-01-31","state:ACT","ACT","light_vehicle","BEV",3029,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2023,"2023-01-31","state:ACT","ACT","light_vehicle","HEV_or_PHEV",9343,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2023,"2023-01-31","state:ACT","ACT","light_vehicle","ICE",299865,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2023,"2023-01-31","state:ACT","ACT","light_vehicle","total",312237,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated across fuel types."
