"STATE","VEHICLE TYPE","MANUFACTURER","MODEL","FUEL TYPE","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026"
"SOUTH AUSTRALIA","Small SUV","Suzuki","Suzuki S-Cross","ICE",8,0,10,15,8,13,15,13,6,3,17,6,19,6,6,4,4
"WESTERN AUSTRALIA","Medium SUV","Mercedes-Benz","Mercedes-Benz GLC-Class Coupe","ICE",22,26,8,11,18,28,36,24,26,24,23,25,16,26,14,16,0
"NEW SOUTH WALES","Large SUV","Mazda","Mazda CX-9","ICE",694,569,562,331,502,532,302,212,113,52,3,3,0,0,0,0,0
"SOUTH AUSTRALIA","Small Car","MG","MG MG3","Hybrid",0,0,0,0,0,0,0,0,0,8,7,13,31,28,30,14,26
"SOUTH AUSTRALIA","Ute (2WD)","LDV","LDV eT60","BEV",0,0,0,0,1,4,4,0,0,0,0,1,0,0,0,0,0
"VICTORIA","Large SUV","Rolls-Royce","Rolls-Royce Cullinan","ICE",1,4,4,4,1,1,4,4,1,4,1,4,4,0,2,3,4
"QUEENSLAND","Medium Car","Alfa Romeo","Alfa Romeo Giulia","ICE",5,3,8,6,6,7,2,6,10,14,2,1,6,8,2,2,2
"SOUTH AUSTRALIA","Small Car","Citroen","Citroen C3","ICE",4,3,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0
"SOUTH AUSTRALIA","Medium Car","MG","MG MG7","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"TASMANIA","Large SUV","Mercedes-Benz","Mercedes-Benz GLS-Class","ICE",0,2,1,1,1,3,1,0,1,1,0,1,0,1,2,1,0
"NORTHERN TERRITORY","Ute (4WD)","LDV","LDV Terron 9","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
"NEW SOUTH WALES","Small SUV","CUPRA","CUPRA Ateca","ICE",0,0,26,38,9,11,12,18,11,4,31,30,15,10,6,9,52
"VICTORIA","Small Car","Mazda","Mazda3","ICE",1067,254,742,622,541,744,649,497,804,775,897,784,748,700,686,531,544
"AUSTRALIAN CAPITAL TERRITORY","Small Car","Subaru","Subaru WRX","ICE",0,14,20,21,21,17,13,9,6,15,14,12,6,16,8,3,11
"NORTHERN TERRITORY","Sports Car","BMW","BMW 4 Series Coupe/Conv","ICE",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"TASMANIA","Large SUV","Audi","Audi Q8","PHEV",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
"SOUTH AUSTRALIA","Small SUV","Toyota","Toyota C-HR","ICE",96,55,61,64,26,49,59,3,0,0,0,0,0,0,0,0,0
"NEW SOUTH WALES","Medium SUV","Toyota","Toyota bZ4X","BEV",0,0,0,0,0,0,0,0,88,57,41,60,54,66,94,207,319
"SOUTH AUSTRALIA","Large Car","Jaguar","Jaguar XF","ICE",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","Small SUV","Volkswagen","Volkswagen T-Roc","ICE",27,2,39,37,51,52,44,47,40,75,65,52,34,42,36,32,24
"VICTORIA","Small SUV","Toyota","Toyota C-HR","ICE",321,320,222,188,115,132,174,28,0,0,0,0,0,0,0,0,0
"QUEENSLAND","Sports Car","Jaguar","Jaguar F-Type","ICE",0,4,3,0,5,2,0,0,4,3,0,1,2,0,1,2,0
"NEW SOUTH WALES","Medium SUV","Leapmotor","Leapmotor C10","BEV",0,0,0,0,0,0,0,0,0,0,0,8,10,6,33,11,8
"NEW SOUTH WALES","Medium Car","BMW","BMW 3 Series","ICE",231,272,205,184,167,408,278,264,271,317,238,173,165,187,228,184,177
"WESTERN AUSTRALIA","Medium SUV","Omoda Jaecoo","Omoda Jaecoo J7","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,79,51
"VICTORIA","Large SUV","Bentley","Bentley Bentayga","ICE",7,8,2,3,9,8,6,12,2,5,2,6,3,2,10,4,5
"NEW SOUTH WALES","Sports Car","Chevrolet","Chevrolet Corvette Z06","ICE",0,0,0,0,0,0,0,0,0,0,5,14,2,2,0,2,1
"SOUTH AUSTRALIA","Large SUV","BMW","BMW X6","ICE",4,12,6,7,1,6,8,5,7,8,5,11,3,10,7,6,5
"WESTERN AUSTRALIA","Large SUV","Lexus","Lexus RZ","BEV",0,0,0,0,0,0,0,0,3,3,3,2,2,0,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","Large SUV","GWM","GWM Tank 300","ICE",0,0,0,0,0,2,7,21,8,20,6,12,9,17,19,18,15
"AUSTRALIAN CAPITAL TERRITORY","Large SUV","Kia","Kia Sorento","ICE",18,36,27,68,43,35,27,12,26,52,17,22,24,30,14,11,16
"AUSTRALIAN CAPITAL TERRITORY","Small SUV","Mercedes-Benz Cars","Mercedes-Benz GLA-Class","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"VICTORIA","Large Car","Genesis","Genesis G80","ICE",2,3,4,1,0,1,1,1,1,2,1,1,3,0,2,0,0
"NEW SOUTH WALES","Van","Peugeot","Peugeot E-Expert","BEV",0,0,0,0,0,0,0,0,0,0,3,1,1,3,0,0,0
"WESTERN AUSTRALIA","Medium SUV","Subaru","Subaru Solterra","BEV",0,0,0,0,0,0,0,0,14,7,9,0,4,6,0,1,20
"VICTORIA","Large Car","Rolls-Royce","Rolls-Royce Sedan","ICE",3,2,1,1,1,2,2,0,0,1,1,1,0,1,1,1,2
"NORTHERN TERRITORY","Large SUV","Nissan","Nissan Pathfinder","ICE",0,0,0,1,2,1,3,1,1,1,0,0,0,1,2,0,0
"VICTORIA","People Mover","Mercedes-Benz","Mercedes-Benz Vito/eVito Tour","BEV",0,0,1,0,1,0,2,2,0,0,1,0,3,1,11,2,0
"VICTORIA","Sports Car","Audi","Audi A5","ICE",8,11,11,4,5,7,18,16,4,5,8,7,0,0,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","Small SUV","Volvo","Volvo XC40","BEV",3,25,6,18,52,43,32,46,33,22,10,17,11,18,13,5,0
"NEW SOUTH WALES","Medium Car","Lexus","Lexus ES","ICE",50,24,24,25,36,16,20,15,10,24,8,4,0,1,8,0,0
