OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source
,,"13 Mitchell St, Bourke, 2840",Tesla,2,AC,22 kW,-30.08820025,145.9338929,Bourke Shire Council,2840,Existing Destination Chargers
,,"13 Park Rd, Speers Point, 2284",Everty,2,AC,22 kW,-32.9626517,151.618953,Lake Macquarie City Council,2284,Existing Destination Chargers
,,"1-3 Warners Ave, Sydney, 2026",Exploren,1,AC,22 kW,-33.88434439,151.2712993,Waverley Council,2026,Existing Destination Chargers
,,"130 Glenayr Ave, Sydney, 2026",Chargefox,1,AC,6 kW,-33.88706611,151.2723443,Waverley Council,2026,Existing Destination Chargers
,,"13125 Hume Hwy, Sutton Forest, 2577",Evie,8,DC,350 kW,-34.60721926,150.2251632,Wingecarribee Shire Council,2577,Existing Fast Chargers
,,"13-15 Castlefield St, Sydney, 2026",Chargefox,2,AC,22 kW,-33.89347052,151.2677117,Waverley Council,2026,Existing Destination Chargers
,,"13-17 Princes Hwy, Albion Park Rail NSW 2527",Evie,2,DC,50 kW,-34.5504346,150.7877814,Shellharbour City Council,2527,ARENA - Driving the Nation
,,"132 Pound Street, Grafton, 2460",NRMA,2,DC,50 kW,-29.68846451,152.933015,Clarence Valley Council,2460,Existing Fast Chargers
,,"133 Liverpool Rd, Sydney, 2134",JOLT,2,DC,25 kW,-33.88724929,151.0993353,Burwood Council,2134,Existing Fast Chargers
,,"133 Samantha Riley Dr, Sydney, 2155",Chargefox,2,AC,22 kW,-33.69981786,150.9577978,The Hills Shire Council,2155,Existing Destination Chargers
,,"133 Wyndham St Cnr Mcevoy St, Alexandria, NSW, 2015",Ampol,2,DC,150 kW,-33.9020166,151.2000104,Bayside Council,2015,ARENA - Driving the Nation
,,"134 Lachlan St, Hay, 2711",NRMA,4,DC,180 kW,-34.50890395,144.8427858,Hay Shire Council,2711,Existing Fast Chargers
,,"134 Lachlan St, Hay, 2711",NRMA,2,DC,50 kW,-34.50908013,144.8410701,Hay Shire Council,2711,Existing Fast Chargers
,,"134 Wallace Ln, Canobolas, 2800",Tesla,1,AC,14 kW,-33.3334595,149.0436226,Orange City Council,2800,Existing Destination Chargers
,,"134-136 Grafton St, Coffs Harbour, 2450",BP,2,DC,75 kW,-30.29156861,153.1183714,Coffs Harbour City Council,2450,Existing Fast Chargers
,,"134-140 Francis St, Sydney, 2026",Chargefox,2,AC,22 kW,-33.88836841,151.2633253,Waverley Council,2026,Existing Destination Chargers
,,"135 King St, Sydney, 2000",Tesla,1,AC,22 kW,-33.8690591,151.2088539,"Sydney, Council of the City of",2000,Existing Destination Chargers
,,"137 Beamish St, Sydney, 2194",Exploren,2,AC,6 kW,-33.90773978,151.1038689,Canterbury Bankstown Council,2194,Existing Destination Chargers
,,"137 Bronte Rd, Sydney, 2022",Exploren,1,AC,22 kW,-33.8971592,151.2513443,Waverley Council,2022,Existing Destination Chargers
,,"14 Aquatic Dr, Sydney, 2086",EVX,18,AC,22 kW,-33.7542533,151.236031,Northern Beaches Council,2086,Existing Destination Chargers
,,"14 Cross St, Forbes, 2871",Tesla,2,AC,22 kW,-33.3836577,148.0099459,Forbes Shire Council,2871,Existing Destination Chargers
,,"14 Everton Rd, Sydney, 2135",JOLT,2,DC,25 kW,-33.87204909,151.0954464,Burwood Council,2135,Existing Fast Chargers
,,"14 George St, Wollongong, NSW 2500",EVX,2,AC,22 kW,-34.42826231,150.8954174,Wollongong City Council,NSW 2500,Existing Destination Chargers
,Denman Van Village,"14 Macauley St
Denman NSW 2328
Australia",Non-networked,2,AC,AC,-32.394325,150.6847666,Muswellbrook Shire Council,2328,Destination Charging R2
,,"140 Denison St, Sydney, 2036",Exploren,2,DC,120 kW,-33.94916821,151.2247958,Bayside Council,2036,Existing Fast Chargers
,,"140 Queen St, Berry, 2535",NRMA,2,DC,50 kW,-34.77559464,150.7010871,Shoalhaven City Council,2535,Existing Fast Chargers
,,"141 Morgan St, Sydney, 2209",JOLT,2,DC,25 kW,-33.9492503,151.0812503,Georges River Council,2209,Existing Fast Chargers
,,"141 Roselands Ave, Roselands NSW 2196",Engie,2,DC,120 kW,-33.9354417,151.0685253,Georges River Council,2196,ARENA - Driving the Nation
,,"14-16 Darling St, Wentworth, 2648",Chargefox,2,AC,22 kW,-34.10961266,141.9201061,Wentworth Shire Council,2648,Existing Destination Chargers
,,"142 Addison Rd, Sydney, 2204",Everty,2,AC,6 kW,-33.90214419,151.1613003,Inner West Council,2204,Existing Destination Chargers
,,"142 Glenayr Ave, Sydney, 2026",Chargefox,1,AC,6 kW,-33.88798403,151.2714735,Waverley Council,2026,Existing Destination Chargers
,,"143 Johnston St, Casino, 2470",EVUp,1,AC,22 kW,-28.86227832,153.0676086,Richmond Valley Council,2470,Existing Destination Chargers
,,"143 Terralong St, Kiama, 2533",Chargefox,4,AC,6 kW,-34.66723728,150.8499379,"Kiama, The Council of the Municipality of",2533,Existing Destination Chargers
,,"1442 George Downes Dr, Kulnura, 2250",Tesla,3,AC,22 kW,-33.19862167,151.199975,Central Coast Council,2250,Existing Destination Chargers
,,"145 Old Pittwater Rd, Sydney, 2100",Tesla,4,AC,22 kW,-33.76657762,151.2644454,Northern Beaches Council,2100,Existing Destination Chargers
,,"147 Princes Hwy, Bodalla, 2545",ChargePoint,1,AC,22 kW,-36.09582487,150.0517628,Eurobodalla Shire Council,2545,Existing Destination Chargers
,,"147 Soldiers Point Rd, Soldiers Point, 2317",Tesla,1,AC,14 kW,-32.7114585,152.0714014,Port Stephens Council,2317,Existing Destination Chargers
,,"149 Alison Rd, Sydney, 2031",JOLT,2,DC,50 kW,-33.91307612,151.2387948,Randwick City Council,2031,Existing Fast Chargers
